Segmentation,Code du produit,appellation,superficie_ha,volume_hl,rendement,commune
AOP,1B001D,VIN APTE ALSACE,106.5162,5010.34,47.0,
AOP,1B001M,VIN DESTIN  L'LABORATION DE VIN DE BASE CRMANT D'ALSACE,3673.12,290219.61,79.0,
AOP,1B001S,ALSACE,8775.6597,576286.68,66.0,
AOP,1B002S,ALSACE GRAND CRU ALTENBERG DE BERGBIETEN,16.3136,809.1,50.0,Bergbieten
AOP,1B003S,ALSACE GRAND CRU ALTENBERG DE BERGHEIM,19.7182,880.24,45.0,Bergheim
AOP,1B004S,ALSACE GRAND CRU ALTENBERG DE WOLXHEIM,11.3567,546.17,48.0,Wolxheim
AOP,1B005S,ALSACE GRAND CRU BRAND,27.375,1127.25,41.0,Turckheim
AOP,1B006S,ALSACE GRAND CRU BRUDERTHAL,5.7206,192.08,34.0,Molsheim
AOP,1B007D,VIN APTE POUR ALSACE GRAND CRU EICHBERG VENDANGES TARDIVES GEWURZTRAMINER,1.4348,48.7,34.0,Eguisheim
AOP,1B007S,ALSACE GRAND CRU EICHBERG,21.1375,971.3,46.0,Eguisheim
AOP,1B008S,ALSACE GRAND CRU ENGELBERG,3.7409,174.23,47.0,Dahlenheim
AOP,1B009S,ALSACE GRAND CRU FLORIMONT,9.5626,392.89,41.0,Ingersheim
AOP,1B010S,ALSACE GRAND CRU FRANKSTEIN,21.7958,1042.76,48.0,Dambach-la-Ville
AOP,1B011S,ALSACE GRAND CRU FROEHN,6.0497,304.05,50.0,Zellenberg
AOP,1B012D,VIN APTE POUR ALSACE GRAND CRU AGC FURSTENTUM,0.9518,31.69,33.0,Kientzheim
AOP,1B012S,ALSACE GRAND CRU AGC FURSTENTUM,9.716,420.57,43.0,Kientzheim
AOP,1B013S,ALSACE GRAND CRU GEISBERG,4.4335,127.29,29.0,Ribeauvillé
AOP,1B014S,ALSACE GRAND CRU GLOECKELBERG,6.3097,304.92,48.0,Rodern
AOP,1B015S,ALSACE GRAND CRU GOLDERT,13.6653,498.29,36.0,Gueberschwihr
AOP,1B016S,ALSACE GRAND CRU HATSCHBOURG,16.5664,844.23,51.0,Hattstatt
AOP,1B017D,VIN APTE POUR ALSACE GRAND CRU HENGST VENDANGES TARDIVES,0.7667,28.4,37.0,Wintzenheim
AOP,1B017S,ALSACE GRAND CRU HENGST,22.5148,972.41,43.0,Wintzenheim
AOP,1B018S,ALSACE GRAND CRU KANZLERBERG,3.1769,123.43,39.0,Bergheim
AOP,1B019S,ALSACE GRAND CRU KASTELBERG RIESLING,4.0452,130.9,32.0,Andlau
AOP,1B020S,ALSACE GRAND CRU KESSLER,5.754,291.65,51.0,Guebwiller
AOP,1B021S,ALSACE GRAND CRU KIRCHBERG DE BARR,20.7807,908.29,44.0,Barr
AOP,1B022S,ALSACE GRAND CRU KIRCHBERG DE RIBEAUVILL,6.3924,212.38,33.0,
AOP,1B023S,ALSACE GRAND CRU KITTERL,5.3424,265.54,50.0,
AOP,1B024S,ALSACE GRAND CRU MAMBOURG,21.6235,1032.3,48.0,Sigolsheim
AOP,1B025S,ALSACE GRAND CRU MANDELBERG,9.9015,420.22,42.0,Mittelwihr
AOP,1B026S,ALSACE GRAND CRU MARCKRAIN,10.7678,548.8,51.0,Bennwihr
AOP,1B027S,ALSACE GRAND CRU MOENCHBERG,4.8637,240.96,50.0,Andlau
AOP,1B028S,ALSACE GRAND CRU MUENCHBERG,12.8837,624.28,48.0,Nothalten
AOP,1B029S,ALSACE GRAND CRU OLLWILLER,21.5148,1113.24,52.0,Wuenheim
AOP,1B030D,VIN APTE POUR ALSACE GRAND CRU OSTERBERG VENDANGES TARDIVES,1.8567,46.32,25.0,Ribeauvillé
AOP,1B030S,ALSACE GRAND CRU OSTERBERG,7.5822,311.38,41.0,Ribeauvillé
AOP,1B031S,ALSACE GRAND CRU PFERSIGBERG,30.1981,1369.99,45.0,Eguisheim
AOP,1B032S,ALSACE GRAND CRU PFINGSTBERG,9.496,441.75,47.0,Orschwihr
AOP,1B033S,ALSACE GRAND CRU PRAELATENBERG,8.8455,433.05,49.0,Kintzheim
AOP,1B034S,ALSACE GRAND CRU RANGEN,15.899,568.92,36.0,Thann
AOP,1B035S,ALSACE GRAND CRU ROSACKER,16.8084,854.61,51.0,Hunawihr
AOP,1B036S,ALSACE GRAND CRU SAERING,5.929,299.7,51.0,Guebwiller
AOP,1B037S,ALSACE GRAND CRU SCHLOSSBERG,43.0622,1272.25,30.0,Kientzheim
AOP,1B038S,ALSACE GRAND CRU SCHOENENBOURG,32.9541,1481.75,45.0,Riquewihr
AOP,1B039S,ALSACE GRAND CRU SOMMERBERG,15.0974,457.82,30.0,Niedermorschwihr
AOP,1B040S,ALSACE GRAND CRU SONNENGLANZ,17.8489,894.41,50.0,Beblenheim
AOP,1B041S,ALSACE GRAND CRU SPIEGEL,10.1269,551.63,54.0,Bergholtz
AOP,1B042S,ALSACE GRAND CRU SPOREN,8.6196,405.7,47.0,Riquewihr
AOP,1B043S,ALSACE GRAND CRU STEINERT,9.1596,420.21,46.0,Pfaffenheim
AOP,1B044S,ALSACE GRAND CRU STEINGRUBLER,12.1468,590.04,49.0,Wettolsheim
AOP,1B045S,ALSACE GRAND CRU STEINKLOTZ,3.8166,182.57,48.0,Marlenheim
AOP,1B046S,ALSACE GRAND CRU VORBOURG,13.9514,588.66,42.0,Rouffach
AOP,1B047S,ALSACE GRAND CRU WIEBELSBERG,6.4981,298.74,46.0,Andlau
AOP,1B048S,ALSACE GRAND CRU WINECK-SCHLOSSBERG,12.2251,502.63,41.0,Kientzheim
AOP,1B049S,ALSACE GRAND CRU WINZENBERG,8.0682,392.26,49.0,Blienschwiller
AOP,1B050D,VIN APTE POUR ALSACE GRAND CRU ZINNKOEPFLE,1.0182,31.4,31.0,
AOP,1B050S,ALSACE GRAND CRU ZINNKOEPFLE,25.5365,1126.59,44.0,
AOP,1B051S,ALSACE GRAND CRU ZOTZENBERG,9.5926,446.37,47.0,Mittelbergheim
AOP,1B053S,ALSACE GRAND CRU KAEFFERKOPF,48.6021,2184.11,45.0,Ammerschwihr
AOP,1B054S,ALSACE KLEVENER DE HEILIGENSTEIN BLANC,46.0125,2786.97,61.0,
AOP,1B055S,ALSACE BLIENSCHWILLER BLANC,0.6222,28.6,46.0,
AOP,1B057S,ALSACE CTE DE ROUFFACH BLANC,10.5536,420.7,40.0,
AOP,1B061S,ALSACE SCHERWILLER BLANC,4.8524,185.1,38.0,
AOP,1B062S,ALSACE VALLE NOBLE BLANC,3.4719,172.72,50.0,
AOP,1B064S,ALSACE WOLXHEIM BLANC,2.299,116.66,51.0,
AOP,1B066S,ALSACE COTEAUX DU HAUT KOENIGSBOURG BLANC,4.8695,271.48,56.0,
AOP,1B070D,VIN APTE ALSACE SUIVI D'UN NOM DE LIEU-DIT,30.4412,1465.16,48.0,
AOP,1B070S,ALSACE SUIVI D'UN NOM DE LIEU-DIT,366.0291,15995.25,44.0,
AOP,1R001S,ALSACE ROUGE,176.5664,8778.49,50.0,
AOP,1R017S,ALSACE GRAND CRU HENGST ROUGE,4.0603,143.26,35.0,Wintzenheim
AOP,1R021S,ALSACE GRAND CRU KIRCHBERG DE BARR ROUGE,1.6968,65.35,39.0,Barr
AOP,1R057S,ALSACE CTE DE ROUFFACH ROUGE,2.5702,129.5,50.0,
AOP,1R058S,ALSACE OTTROTT ROUGE,24.3905,1485.77,61.0,
AOP,1R059S,ALSACE RODERN ROUGE,3.3213,189.33,57.0,
AOP,1R060S,ALSACE SAINT-HIPPOLYTE ROUGE,11.2793,609.36,54.0,
AOP,1R070S,ALSACE SUIVI D'UN NOM DE LIEU-DIT ROUGE,57.2147,2550.12,45.0,
AOP,1S001M,VIN DE BASE POUR CRMANT D'ALSACE ROS,569.4275,47792.74,84.0,
AOP,1S001S,ALSACE ROS,861.4363,62988.14,73.0,
