code_dept,nom_dept,nb_declarations,surf_totale,surf_aop,surf_cognac,surf_igp,surf_vsig,aop_blanc,aop_rouge,aop_rose,aop_vsi,igp_blanc,igp_rouge,igp_rose,vsig_blanc,vsig_rouge,vsig_rose,prod_cognac,total_commercialisable,autre_prod,total_prod,total_blanc,total_rouge,total_rose
01,AIN,154.0,720.4432000000002,507.7887000000002,0.0,40.1845,172.47000000000003,6502.079999999999,2206.58,6372.23,0.0,876.18,211.23,80.98,2503.0599999999986,1172.1799999999996,1701.59,0.0,21626.11,147.5400000000045,21773.65,9881.319999999998,3589.99,8154.799999999999
02,AISNE,858.0,2466.3793000000005,2418.5705000000007,0.0,0.0,47.8088,134496.9100000001,0.0,0.0,0.0,0.0,0.0,0.0,1006.48,2.7,4.02,0.0,135510.1100000001,994.640000000072,136504.75000000015,135503.3900000001,2.7,4.02
03,ALLIER,58.0,576.7846999999998,519.3191999999998,0.0,14.0013,43.464200000000005,5552.620000000001,7804.24,1429.4199999999998,0.0,270.0,132.3,0.0,471.76,141.79,171.8,0.0,15973.93,386.9400000000023,16360.870000000004,6294.380000000001,8078.33,1601.2199999999998
04,ALPES DE HAUTES-PROVENCE,59.0,708.0697000000001,276.12140000000016,0.0,367.4493000000001,64.499,1777.6899999999998,3160.9500000000003,4832.740000000001,0.0,2656.51,1602.8,9313.26,312.2,152.06,1306.0,0.0,25114.210000000003,835.060000000005,25949.270000000008,4746.4,4915.81,15452.0
05,HAUTES-ALPES,63.0,142.7709,0.0,0.0,137.3076,5.4633,0.0,0.0,0.0,0.0,1204.63,1707.74,1302.3100000000004,26.68,36.55,0.0,0.0,4277.910000000001,143.09999999999943,4421.01,1231.3100000000002,1744.29,1302.3100000000004
06,ALPES-MARITIMES,19.0,86.8663,58.9387,0.0,26.0856,1.842,489.62,499.51,221.79,0.0,222.79,341.05,166.91,43.01,21.9,0.0,0.0,2006.58,31.1599999999994,2037.74,755.42,862.4599999999999,388.7
07,ARDECHE,1270.0,10283.739699999993,2717.0507,0.0,7108.990099999994,457.6989000000001,11496.96999999999,81860.47,2692.120000000001,659.4699999999999,91197.83999999998,126733.81999999996,156826.9600000001,6163.530000000001,10463.79,1092.69,0.0,489187.66,10240.37999999954,499428.0399999996,108858.33999999997,219058.08,160611.7700000001
09,ARIEGE,17.0,65.0452,0.0,0.0,56.1475,8.897700000000002,0.0,0.0,0.0,0.0,162.83,992.42,198.76,44.5,108.4,15.0,0.0,1521.91,32.11000000000013,1554.0200000000002,207.33,1100.82,213.76
10,AUBE,2588.0,6808.573400000002,6794.573400000002,0.0,0.0,14.0,212906.0199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.2,0.0,213108.2199999999,-1503.6699999998673,211604.55000000005,212906.0199999999,0.0,202.2
11,AUDE,4159.0,61296.79219999992,16360.831499999971,0.0,41761.86449999995,3174.096200000001,100299.73000000004,224566.7699999999,55779.06000000002,48.41,579214.939999999,1003772.6300000004,446385.87999999966,67404.95000000001,92836.91000000003,14134.53,0.0,2584443.81,34522.74999998463,2618966.559999984,746919.619999999,1321176.3100000005,516299.4699999997
12,AVEYRON,99.0,390.0797,261.0955,0.0,79.00350000000003,49.98069999999999,161.2,3118.36,1047.0400000000002,0.0,448.2399999999999,854.29,102.68,60.4,417.85,148.9,0.0,6358.96,66.050000000002,6425.010000000002,669.8399999999998,4390.5,1298.6200000000003
13,BOUCHES-DU-RHONE,958.0,11520.456000000002,7125.3905,0.0,4099.231700000001,295.83380000000005,30935.139999999992,20622.480000000003,241639.14999999976,3.38,32057.479999999978,27784.15,171960.52999999997,9888.18,1934.28,14568.69,0.0,551393.46,24105.590000000662,575499.0500000005,72880.79999999996,50340.91,428168.3699999997
14,CALVADOS,1.0,6.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,125.71,69.66,0.0,0.0,0.0,0.0,0.0,195.37,0.0,195.37,125.71,69.66,0.0
15,CANTAL,4.0,7.0261,1.8101,0.0,4.906,0.31,4.3,6.5,0.0,0.0,4.0,19.6,0.0,0.0,0.0,0.0,0.0,34.400000000000006,0.5999999999999943,35.0,8.3,26.1,0.0
16,CHARENTE,1955.0,47472.56419999983,108.94459999999997,44379.70479999984,291.90789999999987,2692.0068999999894,2283.5700000000006,2543.6,0.0,0.0,3117.5300000000007,6716.540000000001,686.5,51976.23000000001,5625.75,1753.28,3939980.929999997,4014683.929999997,58096.27000000002,4072780.199999997,57377.33000000001,14885.890000000001,2439.7799999999997
17,CHARENTE-MARITIME,2461.0,49392.01099999992,791.0642000000009,43779.44809999993,1100.2788000000005,3721.219899999986,18179.21,29293.02999999999,1112.4,0.0,21530.94,18344.34999999999,8830.0,162910.96,11141.100000000002,4669.200000000001,3741497.5699999994,4017508.7599999993,87326.04000000376,4104834.8000000026,202621.11,58778.47999999998,14611.6
18,CHER,436.0,4489.0226,4359.3967,0.0,78.9553,50.6706,166570.01999999996,20166.680000000004,7180.3099999999995,0.0,1306.47,232.86,205.7,617.1600000000001,326.63000000000005,170.35000000000002,0.0,196776.18,1242.670000000042,198018.85,168493.64999999997,20726.170000000006,7556.36
19,CORREZE,33.0,77.15169999999999,9.6288,0.0,50.84219999999999,16.6807,104.1,0.45,0.0,0.0,145.6,96.99,253.63,40.5,36.5,0.15,0.0,677.92,0.349999999999909,678.2699999999999,290.2,133.94,253.78
2A,CORSE-DU-SUD,52.0,960.6761,755.2347,0.0,152.0317,53.40970000000001,6190.900000000001,12979.9,5809.969999999999,0.0,1621.69,2561.88,1681.8000000000002,645.0,980.66,304.8,0.0,32776.600000000006,895.1399999999993,33671.740000000005,8457.59,16522.44,7796.57
2B,HAUTE-CORSE,240.0,5161.986099999999,2286.6227,0.0,2697.3221,178.04129999999998,18015.490000000005,17354.120000000003,56057.19,0.0,30088.02,16154.500000000002,172283.61999999988,4104.94,4416.78,770.39,0.0,319245.05,925.2200000003213,320170.2700000003,52208.45000000001,37925.4,229111.1999999999
21,COTE-D'OR,1356.0,9982.38089999997,9880.70239999997,0.0,22.2247,79.4538,126543.57999999824,132801.8699999968,527.06,100.84,210.42,76.92,1.0,557.32,414.72,26.02,0.0,261259.74999999505,2625.090000000724,263884.8399999958,127311.31999999825,133293.5099999968,554.0799999999999
22,COTE D'ARMOR,4.0,5.7522,0.0,0.0,0.0,5.7522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,17.2,0.0,17.2,17.2,0.0,0.0
23,CREUSE,3.0,2.1002,0.0,0.0,0.0,2.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35,33.15,0.0,0.0,59.5,0.0,59.5,26.35,33.15,0.0
24,DORDOGNE,521.0,10419.086199999992,9167.111299999991,25.0837,600.8551000000001,626.0360999999998,125538.41000000002,107825.11,41442.73999999999,557.76,8414.629999999997,9761.98,5408.64,4949.18,3845.09,2322.9,1712.0,311778.44000000006,8350.869999999355,320129.3099999994,138902.22,121432.18,49174.27999999999
25,DOUBS,10.0,25.0226,8.9673,0.0,8.1565,7.8988,78.10000000000002,35.82,0.0,0.0,118.0,2.25,0.0,50.94,11.95,5.449999999999999,0.0,302.51,18.590000000000032,321.1,247.04000000000002,50.019999999999996,5.449999999999999
26,DROME,1361.0,16244.211600000015,13457.836200000018,0.0,2338.0958999999966,448.2795000000003,84032.11999999997,344100.81000000046,36917.48999999999,2636.640000000001,15968.429999999991,44542.250000000015,49988.50000000004,5656.579999999999,4268.9800000000005,1489.85,0.0,589601.6500000004,18550.57999999891,608152.2299999993,105657.12999999996,392912.04000000044,88395.84000000003
27,EURE,3.0,4.158,0.0,0.0,0.0,4.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,5.5,14.5,0.0,52.58,0.1200000000000045,52.7,32.58,5.5,14.5
28,EURE-ET-LOIR,1.0,2.45,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,2.35,0.0,0.0,10.75,0.0,10.75,8.4,2.35,0.0
29,FINISTERE,1.0,0.782,0.0,0.0,0.0,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,13.5,0.2999999999999989,13.8,13.5,0.0,0.0
30,GARD,2957.0,50141.49179999995,17947.74839999997,0.0,29547.33789999998,2646.4054999999976,64310.0199999999,392017.6000000003,168391.94999999995,3324.22,393177.39,558696.4500000001,773610.4899999994,59721.520000000026,56799.749999999935,53679.39999999998,0.0,2523728.79,79462.47000000114,2603191.2600000007,517208.92999999993,1007513.8000000003,995681.8399999994
31,HAUTE-GARONNE,73.0,1224.0128,529.363,0.0,586.1847000000002,108.46509999999998,0.0,10756.52,7539.550000000002,0.0,1416.09,12002.53,23677.42,638.15,1829.41,488.5,0.0,58348.170000000006,1156.500000000029,59504.67000000004,2054.24,24588.460000000003,31705.47
32,GERS,813.0,20274.15260000001,1393.1632,1647.4936999999998,15758.477300000017,1475.0183999999988,16261.119999999995,29471.55000000001,15088.860000000002,0.0,735380.4199999997,61171.62000000002,89200.72000000006,86189.57999999999,4113.04,4362.789999999999,129024.95999999998,1170264.6599999997,135578.11999999732,1305842.779999997,837831.1199999996,94756.21000000002,108652.37000000005
33,GIRONDE,4822.0,100739.8330999994,94966.9747999994,28.1771,1118.3499999999997,4626.3312000000005,504392.3199999996,2676375.6399999987,148778.23000000004,9221.719999999998,13339.569999999998,14916.21,33771.950000000004,75798.00000000006,56319.579999999965,34099.380000000005,1458.91,3568471.5099999984,77826.72000000627,3646298.2300000046,593529.8899999997,2747611.429999999,216649.56000000006
34,HERAULT,6502.0,77963.46080000002,14501.270699999975,0.0,58576.62390000004,4885.566200000002,138306.80999999997,253482.78999999975,99708.69000000003,394.3,1033512.54,1146590.2600000035,1247393.3099999996,146991.11000000002,126007.62999999987,72486.06000000001,0.0,4264873.500000003,97879.51999998931,4362753.019999992,1318810.4600000002,1526080.6800000032,1419588.0599999996
35,ILLE ET VILAINE,2.0,4.0448,0.0,0.0,0.0,4.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,58.5,3.02,0.0,176.27,3.499999999999972,179.76999999999998,114.75,58.5,3.02
36,INDRE,49.0,531.9463000000003,399.56610000000023,0.0,55.957800000000006,76.42240000000001,9257.169999999998,3566.51,1830.28,0.0,2051.16,473.5,109.0,357.1,828.68,779.6,0.0,19253.0,279.9399999999987,19532.939999999995,11665.429999999998,4868.6900000000005,2718.88
37,INDRE-ET-LOIRE,617.0,9720.547400000007,8570.734000000006,0.0,166.6327000000001,983.1807000000013,121354.38000000002,180116.80000000013,21058.91,278.25,3765.54,1318.57,912.77,20452.49000000001,6194.460000000002,14369.44,0.0,369821.61000000016,7203.769999999902,377025.38000000006,145572.41000000003,187629.83000000013,36341.12
38,ISERE,79.0,267.65759999999995,131.37919999999997,0.0,85.844,50.4344,5008.63,692.7699999999999,83.5,4.0,923.28,1085.12,49.0,1193.85,344.21,175.58,0.0,9559.939999999999,141.70999999999913,9701.649999999996,7125.76,2122.1,308.08000000000004
39,JURA,389.0,2244.011599999998,1977.9819999999977,0.0,12.1854,253.8442,25020.959999999992,7577.099999999995,824.56,0.0,32.5,20.0,0.0,709.2099999999999,428.97,10.36,0.0,34623.65999999999,591.5299999999479,35215.18999999994,25762.66999999999,8026.069999999995,834.92
40,LANDES,171.0,1635.8928,228.476,393.2974,898.6754999999998,115.44390000000008,1830.23,2417.3900000000003,4286.110000000001,0.0,15667.47,6466.580000000001,7109.010000000001,3576.55,136.35000000000002,274.63,27426.709999999995,69191.03,19987.50000000001,89178.53000000001,21074.25,9020.320000000002,11669.750000000002
