appellation,pente,altitude,exposition,nb_parcelles,surface_ha
Ajaccio,7.939941340154432,119.19209528695156,198.53129876950248,3830.0,4346715.043357164
Alsace ou Vin d'Alsace,3.7717103678560746,222.95608427476895,101.38793017987528,31635.0,13806631.801352045
Anjou,1.9593556132007754,71.49131383023925,154.1183162918494,30531.0,43881971.90932164
Arbois,5.167740805604204,316.375656742557,241.86304423723323,1142.0,1677160.6861208777
Bandol,4.410042573284912,126.96432099581159,179.1507290307733,743.0,2178504.0263604247
Bergerac,3.561430733684184,114.53939308982389,203.49320226098803,11650.0,8879125.3342229
Bordeaux,2.4157133390322665,51.285437584533284,211.42672533169954,61021.0,58738106.39453584
Bourgogne,5.284822363113637,275.50638777512586,163.55654746587712,14405.0,5433251.970144516
Bourgogne aligoté,4.025494140350912,282.0740761603281,132.2012642755501,4400.0,2914388.6307424316
Brulhois,4.784930394431553,131.64385150812063,160.3635731358698,1724.0,1009114.2218207504
Bugey,5.272177760494758,281.0194912292563,179.01825243289733,1468.0,424629.28054918186
Buzet,3.843022875239462,87.04637035838856,152.16207219110382,5616.0,3214571.7262386163
Béarn,5.774732961463128,207.8792512803319,135.04463657309003,6313.0,2567856.820424655
Cabardès,3.4439822485207094,152.56923076923076,171.60125754080752,1690.0,2274096.0389384497
Cahors,4.080207176390107,155.46908891623275,236.2438132983204,5584.0,5603658.253967627
Chablis,6.522016292228502,207.48679255931006,190.28849110634485,4561.0,4620949.394112462
Châteauneuf-du-Pape,1.9018664563617236,48.151419558359606,168.2389684786065,1902.0,909988.1200043991
Clairette de Bellegarde,0.8786601307189541,54.40359477124183,87.24746726162624,1836.0,4969103.262929857
Clairette de Die,7.964889141557703,359.34565093803286,174.74519081867342,1759.0,520960.08275615657
Clairette du Languedoc,5.051412899796796,114.56359800540316,158.56972291411378,5632.0,9380739.836038738
Costières de Nîmes,1.5973989561988688,56.58525858695635,185.6841957466141,5081.0,15448430.464477865
Coteaux d'Aix-en-Provence,3.126447426416281,241.53195583667187,206.82442360986013,5081.0,14247655.745017126
Coteaux du Giennois,1.9428051948051948,164.11688311688312,135.02081196349351,770.0,0.077
Coteaux du Loir,2.5727338709677414,83.60322580645159,220.91858844046644,1240.0,300966.4589275019
Coteaux du Vendômois,2.4540576080150283,108.2003757044458,219.2549268940078,1597.0,460093.3846039887
Coteaux varois en Provence,3.6251855677337095,290.2614957004908,182.72659953908132,1051.0,2201707.235852304
Crémant de Bourgogne,7.428619333973827,339.56236077948967,137.38277222143094,23280.0,22331569.266442116
Crémant de Limoux,6.447511110491283,275.08627264146116,191.86253672823207,5737.0,3510339.0275690462
Crémant de Loire,1.716407064796578,87.9776979339081,209.7823684189524,20359.0,12662737.718294917
Côte roannaise,5.738099369085173,472.1577287066246,94.79226823959544,1268.0,0.1268
